classname_modelid-view,classid,azimuth,elevation
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-00,03636649,207.7,43.3
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-01,03636649,334.4,34.2
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-02,03636649,294.0,33.9
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-03,03636649,102.9,18.2
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-04,03636649,257.1,-16.9
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-05,03636649,135.6,-10.5
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-06,03636649,115.5,0.5
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-07,03636649,61.7,1.7
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-08,03636649,14.5,-12.1
lamp_101d0e7dbd07d8247dfd6bf7196ba84d-09,03636649,24.1,23.4
lamp_102273fdf8d1b90041fbc1e2da054acb-00,03636649,209.4,19.5
lamp_102273fdf8d1b90041fbc1e2da054acb-01,03636649,259.6,-14.2
lamp_102273fdf8d1b90041fbc1e2da054acb-02,03636649,116.9,32.6
lamp_102273fdf8d1b90041fbc1e2da054acb-03,03636649,49.4,-16.1
lamp_102273fdf8d1b90041fbc1e2da054acb-04,03636649,239.4,30.9
lamp_102273fdf8d1b90041fbc1e2da054acb-05,03636649,156.9,33.5
lamp_102273fdf8d1b90041fbc1e2da054acb-06,03636649,77.4,32.4
lamp_102273fdf8d1b90041fbc1e2da054acb-07,03636649,277.0,0.2
lamp_102273fdf8d1b90041fbc1e2da054acb-08,03636649,203.5,39.3
lamp_102273fdf8d1b90041fbc1e2da054acb-09,03636649,92.5,-9.0
lamp_107b8c870eade2481735ea0e092a805a-00,03636649,183.2,46.4
lamp_107b8c870eade2481735ea0e092a805a-01,03636649,134.9,25.0
lamp_107b8c870eade2481735ea0e092a805a-02,03636649,93.8,6.6
lamp_107b8c870eade2481735ea0e092a805a-03,03636649,38.6,-1.1
lamp_107b8c870eade2481735ea0e092a805a-04,03636649,291.2,-0.8
lamp_107b8c870eade2481735ea0e092a805a-05,03636649,24.1,44.6
lamp_107b8c870eade2481735ea0e092a805a-06,03636649,82.4,-4.4
lamp_107b8c870eade2481735ea0e092a805a-07,03636649,160.0,38.3
lamp_107b8c870eade2481735ea0e092a805a-08,03636649,142.9,38.7
lamp_107b8c870eade2481735ea0e092a805a-09,03636649,202.7,24.4
lamp_108a5262552050dfa9370719b830fc2c-00,03636649,163.1,0.1
lamp_108a5262552050dfa9370719b830fc2c-01,03636649,168.9,37.4
lamp_108a5262552050dfa9370719b830fc2c-02,03636649,258.5,10.9
lamp_108a5262552050dfa9370719b830fc2c-03,03636649,94.5,15.8
lamp_108a5262552050dfa9370719b830fc2c-04,03636649,288.5,16.1
lamp_108a5262552050dfa9370719b830fc2c-05,03636649,262.0,27.7
lamp_108a5262552050dfa9370719b830fc2c-06,03636649,169.1,-5.9
